Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing and household services,Furniture and household goods,Transport,Recreation and culture,Restaurants and hotels,Other goods and services,CPIH 12-month inflation rate
Aug-20,0.04,0.06,-0.06,0.2,0.03,-0.1,0.35,-0.27,0.25,0.5
Sep-20,0,0.07,-0.07,0.2,-0.02,0.12,0.31,-0.07,0.2,0.7
Oct-20,0.05,0.06,0,0.16,0.02,0.16,0.26,-0.05,0.22,0.9
Nov-20,-0.03,0.06,-0.19,0.15,0,0.12,0.24,0.04,0.19,0.6
Dec-20,-0.11,0.11,-0.09,0.18,-0.03,0.23,0.35,0.01,0.17,0.8
Jan-21,-0.05,0.11,-0.22,0.19,0.05,0.27,0.35,0.08,0.15,0.9
Feb-21,-0.04,0.1,-0.35,0.24,0.04,0.3,0.29,0.05,0.1,0.7
Mar-21,-0.11,0.08,-0.24,0.24,0.08,0.44,0.3,0.06,0.11,1
Apr-21,-0.03,0.08,-0.02,0.57,0.14,0.56,0.12,0.04,0.18,1.6
May-21,-0.1,0.06,0.11,0.6,0.14,0.72,0.26,0.09,0.24,2.1
Jun-21,-0.04,0.09,0.16,0.63,0.17,0.8,0.27,0.14,0.23,2.4
Jul-21,-0.04,0.06,0.07,0.63,0.15,0.85,0.09,0.1,0.18,2.1
Aug-21,0.05,0.09,0.06,0.65,0.19,0.87,0.28,0.65,0.19,3
Sep-21,0.08,0.1,0.04,0.69,0.23,0.91,0.31,0.34,0.22,2.9
Oct-21,0.12,0.07,0.01,1.23,0.28,1.08,0.29,0.43,0.31,3.8
Nov-21,0.23,0.17,0.22,1.28,0.31,1.34,0.38,0.34,0.31,4.6
Dec-21,0.37,0.14,0.26,1.31,0.37,1.29,0.34,0.41,0.34,4.8
Jan-22,0.39,0.12,0.41,1.37,0.41,1.24,0.32,0.31,0.33,4.9
Feb-22,0.46,0.13,0.54,1.39,0.48,1.26,0.51,0.36,0.35,5.5
Mar-22,0.53,0.18,0.57,1.49,0.57,1.47,0.55,0.53,0.34,6.2
Apr-22,0.61,0.17,0.48,2.76,0.57,1.47,0.64,0.64,0.44,7.8
May-22,0.78,0.19,0.4,2.79,0.6,1.5,0.54,0.64,0.44,7.9
Jun-22,0.89,0.18,0.35,2.82,0.59,1.64,0.52,0.73,0.46,8.2
Jul-22,1.15,0.2,0.39,2.91,0.56,1.66,0.6,0.78,0.52,8.8
Aug-22,1.2,0.21,0.43,2.9,0.58,1.36,0.57,0.79,0.58,8.6
